Keyword,Currency,Avg. monthly searches,Three month change,YoY change,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Ad impression share,Organic impression share,Organic average position,In account?,In plan?,Searches: May 2024,Searches: Jun 2024,Searches: Jul 2024,Searches: Aug 2024,Searches: Sep 2024,Searches: Oct 2024,Searches: Nov 2024,Searches: Dec 2024,Searches: Jan 2025,Searches: Feb 2025,Searches: Mar 2025,Searches: Apr 2025
photography and video production company,CAD,40.0,0%,150%,Low,7.0,3.2,17.68,,,,,,10.0,10.0,20.0,10.0,10.0,20.0,70.0,30.0,40.0,50.0,110.0,50.0
photography production agency,CAD,10.0,100%,0%,Low,15.0,,,,,,,,10.0,10.0,10.0,20.0,10.0,10.0,10.0,10.0,20.0,10.0,10.0,20.0
photorealistic 3d animation,CAD,20.0,200%,200%,Low,0.0,,,,,,,,10.0,20.0,10.0,10.0,20.0,20.0,10.0,20.0,10.0,10.0,20.0,30.0
pinaka studios vfx,CAD,10.0,∞,∞,Low,0.0,,,,,,,,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
pixar animation studios 3d,CAD,10.0,100%,100%,Low,9.0,5.26,13.56,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,20.0,10.0,10.0,10.0,40.0,20.0
pixel magic vfx,CAD,20.0,-67%,0%,Low,0.0,,,,,,,,30.0,30.0,20.0,20.0,10.0,10.0,20.0,10.0,20.0,30.0,30.0,10.0
pixel vfx studio,CAD,10.0,∞,∞,Low,11.0,,,,,,,,10.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,10.0,10.0
pixelframes vfx,CAD,10.0,0%,-100%,Unknown,,,,,,,,,10.0,0.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,0.0,10.0,0.0
pixelframes vfx studios,CAD,10.0,-100%,-100%,Unknown,,,,,,,,,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,10.0,10.0,10.0,0.0
pixomondo vfx,CAD,30.0,0%,0%,Low,1.0,,,,,,,,30.0,30.0,40.0,10.0,20.0,20.0,10.0,20.0,30.0,30.0,30.0,30.0
pixstone vfx,CAD,10.0,-50%,0%,Low,0.0,,,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,20.0,10.0,10.0
pixstone vfx studio,CAD,10.0,-100%,0%,Unknown,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0
plastic wax vfx,CAD,10.0,∞,0%,Low,0.0,,,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,10.0,0.0,10.0,10.0
post production editing services,CAD,20.0,0%,200%,Low,0.0,,,,,,,,10.0,30.0,20.0,10.0,10.0,20.0,20.0,20.0,40.0,30.0,40.0,30.0
post production video editing services,CAD,50.0,0%,1000%,Low,1.0,,,,,,,,30.0,10.0,10.0,10.0,10.0,20.0,50.0,50.0,90.0,110.0,170.0,110.0
prana studios vfx,CAD,10.0,0%,0%,Low,0.0,,,,,,,,10.0,10.0,10.0,0.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
prana vfx,CAD,10.0,0%,∞,Low,0.0,,,,,,,,10.0,10.0,0.0,10.0,10.0,10.0,0.0,0.0,10.0,10.0,0.0,10.0
prana vfx studio,CAD,10.0,0%,0%,Unknown,,,,,,,,,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prasad vfx studio,CAD,10.0,0%,0%,Unknown,,,,,,,,,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0
pre production production post production,CAD,260.0,23%,0%,Low,0.0,,,,,,,,320.0,210.0,170.0,210.0,260.0,320.0,260.0,210.0,320.0,260.0,320.0,320.0
pre roll digital advertising,CAD,10.0,0%,0%,Low,0.0,,,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
premier production videos,CAD,20.0,-50%,0%,Low,0.0,,,,,,,,10.0,10.0,20.0,40.0,20.0,10.0,10.0,10.0,10.0,20.0,10.0,10.0
prime focus animation studio,CAD,10.0,-100%,0%,Unknown,,,,,,,,,0.0,10.0,10.0,10.0,10.0,10.0,0.0,10.0,0.0,10.0,0.0,0.0
prime focus post production,CAD,10.0,0%,-50%,Low,7.0,,,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
prime focus vfx company,CAD,10.0,0%,0%,Unknown,,,,,,,,,10.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0
prime focus vfx studio,CAD,10.0,-100%,0%,Unknown,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0
prime vfx,CAD,10.0,-100%,-100%,Unknown,,,,,,,,,10.0,10.0,10.0,10.0,10.0,0.0,10.0,10.0,10.0,10.0,10.0,0.0
prime video marketing,CAD,20.0,0%,100%,Low,12.0,14.27,46.66,,,,,,20.0,10.0,20.0,20.0,10.0,30.0,10.0,10.0,20.0,20.0,30.0,20.0
prism & pixels vfx studio,CAD,10.0,0%,0%,Low,0.0,,,,,,,,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0
prism and pixels vfx studio,CAD,10.0,∞,∞,Low,0.0,,,,,,,,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
produce a corporate video,CAD,2900.0,-19%,238%,Low,5.0,6.51,32.18,,,,,,1900.0,1600.0,1600.0,1600.0,1600.0,1600.0,2400.0,2400.0,3600.0,5400.0,5400.0,4400.0
production commercials,CAD,210.0,23%,52%,Low,8.0,5.96,44.3,,,,,,210.0,170.0,140.0,140.0,170.0,140.0,210.0,140.0,210.0,260.0,390.0,320.0
production company rate card,CAD,10.0,0%,∞,Low,20.0,,,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
production company reels,CAD,40.0,0%,-25%,Low,26.0,2.7,11.38,,,,,,40.0,40.0,50.0,30.0,40.0,40.0,70.0,40.0,30.0,30.0,40.0,30.0
production youtube,CAD,320.0,-19%,-46%,Low,5.0,2.16,9.63,,,,,,390.0,390.0,480.0,390.0,320.0,320.0,320.0,390.0,320.0,320.0,320.0,260.0
professional corporate video production,CAD,50.0,27%,367%,Low,0.0,,,,,,,,30.0,40.0,20.0,10.0,10.0,20.0,40.0,30.0,30.0,110.0,110.0,140.0
professional production company,CAD,10.0,0%,300%,Low,2.0,,,,,,,,0.0,10.0,10.0,0.0,10.0,10.0,10.0,10.0,10.0,40.0,50.0,40.0
professional training video production,CAD,30.0,133%,75%,Low,1.0,,,,,,,,30.0,10.0,10.0,10.0,10.0,10.0,50.0,20.0,20.0,30.0,70.0,70.0
professional video producer,CAD,480.0,-55%,125%,Low,2.0,6.62,55.9,,,,,,320.0,320.0,260.0,210.0,260.0,260.0,320.0,480.0,590.0,1600.0,880.0,720.0
professional video production services,CAD,480.0,0%,238%,Low,1.0,13.69,50.63,,,,,,170.0,170.0,320.0,260.0,260.0,170.0,260.0,260.0,480.0,880.0,1000.0,880.0
promotional video maker company,CAD,30.0,-40%,200%,Low,0.0,,,,,,,,20.0,20.0,30.0,20.0,20.0,20.0,70.0,50.0,40.0,50.0,50.0,30.0
promotional video production services,CAD,110.0,-21%,267%,Low,0.0,,,,,,,,50.0,40.0,50.0,50.0,70.0,90.0,170.0,140.0,140.0,140.0,170.0,110.0
r&h vfx,CAD,10.0,0%,0%,Low,15.0,,,,,,,,10.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,10.0,10.0,10.0
rai video production,CAD,10.0,0%,0%,Low,0.0,,,,,,,,10.0,0.0,10.0,10.0,0.0,10.0,0.0,10.0,0.0,10.0,10.0,10.0
raj vfx studio,CAD,10.0,0%,-100%,Unknown,,,,,,,,,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
real estate video marketing agency,CAD,10.0,200%,200%,Low,0.0,,,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,20.0,10.0,20.0,30.0
real estate video production services,CAD,90.0,457%,3800%,Low,1.0,1.87,6.33,,,,,,20.0,20.0,20.0,20.0,20.0,30.0,70.0,90.0,50.0,70.0,390.0,390.0
real estate videography business,CAD,10.0,0%,0%,Low,22.0,1.69,4.43,,,,,,20.0,10.0,10.0,20.0,10.0,10.0,10.0,20.0,20.0,10.0,20.0,10.0
reliance 3d animation,CAD,, --, --,Unknown,,,,,,,,,,,,,,,,,,,,
reliance mediaworks vfx,CAD,10.0,-100%,0%,Unknown,,,,,,,,,10.0,10.0,0.0,10.0,10.0,10.0,10.0,0.0,0.0,10.0,10.0,0.0
resonance vfx studio,CAD,10.0,0%,0%,Unknown,,,,,,,,,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0
rings of power vfx studio,CAD,10.0,0%,0%,Unknown,,,,,,,,,0.0,10.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,10.0,0.0
rising sun pictures vfx,CAD,30.0,100%,100%,Low,0.0,,,,,,,,30.0,20.0,30.0,30.0,30.0,20.0,20.0,20.0,30.0,20.0,20.0,40.0
rocket launch 3d animation,CAD,10.0,0%,0%,Low,0.0,,,,,,,,10.0,30.0,10.0,10.0,20.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
rodeo visual effects company,CAD,10.0,0%,0%,Low,0.0,,,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,10.0,10.0,10.0
roll on advertisement,CAD,10.0,0%,0%,Low,25.0,,,,,,,,10.0,10.0,10.0,10.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
roush video production,CAD,10.0,0%,∞,Low,29.0,,,,,,,,0.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,10.0
rrr vfx studio,CAD,10.0,∞,0%,Low,0.0,,,,,,,,10.0,10.0,0.0,0.0,10.0,0.0,0.0,10.0,10.0,0.0,0.0,10.0
rrr visual effects company,CAD,10.0,0%,∞,Low,0.0,,,,,,,,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,10.0,10.0,0.0,10.0
sancio vfx,CAD,10.0,0%,0%,Low,0.0,,,,,,,,10.0,10.0,70.0,40.0,10.0,10.0,10.0,10.0,0.0,10.0,10.0,10.0
sancio vfx studios,CAD,10.0,100%,100%,Low,0.0,,,,,,,,10.0,10.0,40.0,20.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,20.0
satya sai vfx studio,CAD,10.0,-100%,-100%,Unknown,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0
scanline vfx netflix,CAD,20.0,50%,0%,Low,0.0,,,,,,,,10.0,30.0,30.0,10.0,10.0,10.0,10.0,10.0,10.0,20.0,20.0,30.0
scanline vfx reel,CAD,10.0,∞,0%,Low,0.0,,,,,,,,10.0,10.0,0.0,10.0,0.0,10.0,10.0,10.0,10.0,0.0,10.0,10.0
screen scene post production,CAD,20.0,0%,-50%,Low,12.0,,,,,,,,20.0,10.0,30.0,10.0,20.0,20.0,20.0,20.0,30.0,10.0,20.0,10.0
screen scene vfx,CAD,20.0,-33%,-50%,Low,1.0,,,,,,,,20.0,20.0,30.0,20.0,30.0,20.0,20.0,20.0,30.0,30.0,30.0,20.0
sd character design,CAD,10.0,-100%,-100%,Unknown,,,,,,,,,10.0,10.0,10.0,10.0,10.0,0.0,10.0,0.0,0.0,10.0,10.0,0.0
select vfx studio,CAD,10.0,0%,0%,Low,0.0,,,,,,,,10.0,10.0,10.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
semenax video,CAD,30.0,50%,-57%,Low,1.0,,,,,,,,50.0,40.0,50.0,50.0,30.0,20.0,30.0,10.0,20.0,20.0,10.0,30.0
semenex commercial,CAD,10.0,0%,-50%,Low,0.0,,,,,,,,10.0,20.0,10.0,10.0,10.0,10.0,10.0,30.0,10.0,10.0,10.0,10.0
service video production,CAD,8100.0,-18%,83%,Low,3.0,5.36,20.96,,,,,,12100.0,5400.0,5400.0,6600.0,6600.0,6600.0,8100.0,8100.0,9900.0,12100.0,9900.0,9900.0
sf production companies,CAD,210.0,52%,23%,Low,27.0,3.86,14.91,,,,,,210.0,210.0,210.0,170.0,140.0,170.0,140.0,170.0,260.0,210.0,320.0,320.0
sf video production,CAD,1300.0,0%,30%,Low,8.0,3.93,20.26,,,,,,1000.0,1600.0,1000.0,1000.0,1300.0,1300.0,1600.0,1000.0,1000.0,1300.0,1600.0,1300.0
shilpa shetty vfx studio,CAD,10.0,0%,0%,Unknown,,,,,,,,,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shirt video,CAD,30.0,50%,0%,Low,0.0,,,,,,,,30.0,30.0,20.0,30.0,20.0,20.0,20.0,30.0,30.0,20.0,30.0,30.0
shoot you video production,CAD,10.0,0%,0%,Low,5.0,,,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
shootsta hub,CAD,10.0,0%,0%,Low,0.0,,,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
shootsta video,CAD,10.0,0%,0%,Low,0.0,,,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,0.0,10.0,10.0,10.0,10.0,10.0
silvercloud studios vfx,CAD,10.0,0%,0%,Unknown,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0
singarajan vfx studio,CAD,0.0,0%,0%,Unknown,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sketchup walkthrough animation,CAD,10.0,0%,0%,Low,0.0,,,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,20.0,10.0,10.0,10.0
sky vfx studios,CAD,10.0,0%,-100%,Unknown,,,,,,,,,0.0,10.0,10.0,10.0,0.0,10.0,10.0,10.0,0.0,0.0,10.0,0.0
sme video production,CAD,10.0,0%,∞,Low,29.0,,,,,,,,0.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0
snack video advertisement,CAD,10.0,0%,100%,Low,1.0,,,,,,,,10.0,10.0,10.0,10.0,10.0,20.0,20.0,20.0,10.0,20.0,10.0,20.0
social media lead machine blake nubar,CAD,10.0,-100%,-100%,Unknown,,,,,,,,,10.0,10.0,10.0,10.0,10.0,0.0,10.0,10.0,10.0,10.0,10.0,0.0
social media video production services,CAD,70.0,57%,175%,Low,2.0,,,,,,,,50.0,30.0,50.0,50.0,50.0,50.0,70.0,90.0,90.0,70.0,140.0,110.0
social video company,CAD,20.0,0%,0%,Low,0.0,,,,,,,,10.0,20.0,10.0,20.0,10.0,20.0,40.0,50.0,30.0,10.0,30.0,10.0
soft video,CAD,390.0,0%,50%,Low,3.0,4.63,22.09,,,,,,320.0,320.0,480.0,320.0,390.0,390.0,320.0,320.0,320.0,480.0,590.0,480.0
somesuch vimeo,CAD,10.0,0%,0%,Low,7.0,,,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
sonic the hedgehog vfx studio,CAD,10.0,0%,0%,Low,0.0,,,,,,,,0.0,0.0,10.0,0.0,10.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0
spectrecom films,CAD,30.0,25%,25%,Low,2.0,,,,,,,,30.0,40.0,20.0,40.0,20.0,30.0,30.0,20.0,30.0,40.0,50.0,50.0
spot on video productions,CAD,10.0,0%,0%,Low,7.0,,,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
squatty potty unicorn video,CAD,50.0,0%,-29%,Low,0.0,,,,,,,,70.0,50.0,40.0,70.0,50.0,50.0,50.0,50.0,70.0,50.0,50.0,50.0
ssvfx studio,CAD,10.0,0%,0%,Low,0.0,,,,,,,,0.0,10.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
stargate vfx,CAD,20.0,0%,0%,Low,0.0,,,,,,,,20.0,70.0,20.0,20.0,20.0,20.0,20.0,10.0,20.0,20.0,20.0,20.0
starting your own video production company,CAD,10.0,0%,∞,Medium,36.0,,,,,,,,10.0,10.0,10.0,10.0,10.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0
startup explainer video maker,CAD,10.0,0%,∞,Low,0.0,,,,,,,,10.0,10.0,10.0,10.0,10.0,0.0,0.0,10.0,0.0,10.0,10.0,10.0
startup video company,CAD,10.0,-50%,0%,Low,0.0,,,,,,,,0.0,10.0,0.0,10.0,10.0,10.0,30.0,40.0,50.0,20.0,20.0,10.0
startup video production company,CAD,90.0,27%,180%,Low,1.0,,,,,,,,40.0,70.0,50.0,40.0,50.0,50.0,110.0,170.0,110.0,110.0,140.0,140.0
static vfx studio,CAD,10.0,0%,∞,Low,0.0,,,,,,,,0.0,10.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0
staticvfx,CAD,10.0,0%,∞,Low,0.0,,,,,,,,0.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
staticvfx studio,CAD,10.0,0%,0%,Low,0.0,,,,,,,,10.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,10.0,10.0,10.0,10.0
storm studios vfx,CAD,20.0,67%,400%,Low,7.0,2.69,4.89,,,,,,20.0,20.0,10.0,10.0,10.0,20.0,10.0,20.0,10.0,30.0,50.0,50.0
stormborn vfx,CAD,10.0,0%,0%,Low,9.0,,,,,,,,20.0,20.0,20.0,10.0,20.0,20.0,20.0,10.0,10.0,10.0,10.0,10.0
stream princess mononoke hulu,CAD,50.0,125%,80%,Low,0.0,,,,,,,,70.0,40.0,30.0,70.0,50.0,50.0,40.0,50.0,50.0,40.0,90.0,90.0
studio 51 vfx,CAD,20.0,800%,125%,Low,0.0,,,,,,,,10.0,10.0,10.0,20.0,20.0,10.0,10.0,10.0,10.0,10.0,10.0,90.0
suhana masala advertisement video,CAD,0.0,0%,0%,Unknown,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
surpreeze vfx studio,CAD,10.0,0%,-100%,Unknown,,,,,,,,,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0
svs studio vfx,CAD,0.0,0%,0%,Unknown,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
svs vfx studio,CAD,0.0,0%,0%,Unknown,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
technicolor creative studios mpc,CAD,10.0,0%,0%,Unknown,,,,,,,,,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0
technicolor vfx,CAD,590.0,-99%,125%,Low,2.0,,,,,,,,30.0,30.0,20.0,20.0,20.0,10.0,30.0,30.0,10.0,6600.0,210.0,90.0
technicolour vfx,CAD,10.0,-89%,0%,Low,4.0,,,,,,,,10.0,10.0,10.0,0.0,10.0,10.0,10.0,10.0,10.0,90.0,30.0,10.0
television video content brands,CAD,10.0,-50%,0%,Low,5.0,,,,,,,,10.0,10.0,10.0,0.0,10.0,10.0,10.0,10.0,10.0,20.0,10.0,10.0
telideo productions,CAD,10.0,0%,0%,Low,1.0,,,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
territory vfx,CAD,40.0,-40%,-40%,Low,3.0,,,,,,,,40.0,40.0,40.0,40.0,40.0,30.0,40.0,20.0,40.0,50.0,40.0,30.0
the aerial filming company,CAD,20.0,25%,150%,Low,9.0,1.41,8.26,,,,,,20.0,10.0,20.0,20.0,20.0,10.0,20.0,10.0,20.0,40.0,40.0,50.0
the best corporate videos,CAD,10.0,0%,0%,Low,11.0,,,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
the foundry nuke studio,CAD,30.0,0%,50%,Low,3.0,,,,,,,,20.0,30.0,30.0,40.0,50.0,30.0,40.0,20.0,20.0,30.0,30.0,30.0
the mill vfx,CAD,720.0,-89%,50%,Low,1.0,2.25,4.89,,,,,,320.0,320.0,260.0,260.0,320.0,320.0,260.0,320.0,390.0,4400.0,880.0,480.0
the mill video production,CAD,10.0,-75%,0%,Low,0.0,,,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,40.0,10.0,10.0
the mill visual effects,CAD,720.0,-89%,50%,Low,1.0,2.25,4.89,,,,,,320.0,320.0,260.0,260.0,320.0,320.0,260.0,320.0,390.0,4400.0,880.0,480.0
the molecule vfx,CAD,20.0,0%,-33%,Low,1.0,,,,,,,,20.0,30.0,30.0,10.0,10.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
the room studio vfx,CAD,0.0,0%,0%,Unknown,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
the vfx company,CAD,10.0,0%,0%,Low,0.0,,,,,,,,10.0,10.0,0.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
the video content agency,CAD,10.0,0%,0%,Low,0.0,,,,,,,,0.0,10.0,0.0,10.0,10.0,10.0,0.0,10.0,10.0,10.0,10.0,10.0
the video marketing company,CAD,20.0,100%,-20%,Low,5.0,,,,,,,,30.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,20.0,30.0,40.0
the video production company,CAD,10.0,0%,0%,Low,30.0,5.07,15.37,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,20.0,20.0,10.0,10.0,10.0,10.0
the wedding video company,CAD,10.0,0%,0%,Low,0.0,,,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
third floor vfx,CAD,30.0,-33%,-33%,Low,9.0,,,,,,,,20.0,40.0,40.0,20.0,30.0,30.0,20.0,20.0,20.0,30.0,30.0,20.0
thor love and thunder vfx studio,CAD,10.0,-100%,-100%,Unknown,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0
thunder vfx studio,CAD,10.0,0%,0%,Unknown,,,,,,,,,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
tippett vfx,CAD,10.0,0%,0%,Low,13.0,,,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
top 10 vfx companies,CAD,10.0,∞,0%,Low,14.0,,,,,,,,10.0,10.0,10.0,0.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,10.0
top 10 vfx companies in the world,CAD,10.0,∞,∞,Low,0.0,,,,,,,,0.0,0.0,10.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0
top 10 vfx companies in world,CAD,10.0,0%,0%,Low,0.0,,,,,,,,0.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
top 10 vfx studios,CAD,10.0,0%,0%,Low,0.0,,,,,,,,10.0,10.0,10.0,0.0,0.0,10.0,10.0,10.0,0.0,10.0,0.0,10.0
top 10 vfx studios in world,CAD,10.0,-100%,-100%,Unknown,,,,,,,,,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,0.0
top 100 video production companies,CAD,10.0,∞,0%,Medium,57.0,,,,,,,,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0
top 5 vfx companies in the world,CAD,10.0,0%,0%,Low,0.0,,,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
top brand videos,CAD,10.0,0%,0%,Low,0.0,,,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,10.0,10.0,10.0
top corporate video companies,CAD,30.0,25%,150%,Low,0.0,,,,,,,,30.0,20.0,20.0,20.0,30.0,30.0,40.0,40.0,30.0,40.0,40.0,50.0
top corporate video production companies,CAD,40.0,80%,125%,Low,0.0,,,,,,,,10.0,20.0,10.0,10.0,20.0,20.0,30.0,30.0,30.0,50.0,90.0,90.0
top film production,CAD,10.0,0%,200%,Low,0.0,,,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,30.0,40.0,30.0
top special effects companies,CAD,10.0,0%,0%,Low,4.0,,,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
top ten visual effects companies,CAD,10.0,0%,0%,Unknown,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0
top vfx companies,CAD,50.0,-29%,25%,Low,7.0,3.36,6.99,,,,,,70.0,50.0,70.0,30.0,40.0,70.0,70.0,50.0,50.0,70.0,70.0,50.0
top vfx companies in the world,CAD,10.0,0%,-50%,Low,1.0,,,,,,,,20.0,10.0,10.0,20.0,10.0,10.0,10.0,10.0,10.0,10.0,20.0,10.0
top vfx studio,CAD,20.0,-33%,100%,Low,0.0,,,,,,,,30.0,20.0,10.0,20.0,20.0,10.0,10.0,10.0,10.0,30.0,20.0,20.0
top vfx studios in the world,CAD,10.0,0%,0%,Low,14.0,,,,,,,,10.0,10.0,0.0,10.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
top vfx studios in world,CAD,10.0,-100%,0%,Unknown,,,,,,,,,10.0,10.0,0.0,10.0,0.0,0.0,10.0,10.0,10.0,10.0,10.0,0.0
top video production,CAD,260.0,24%,0%,Low,9.0,4.25,23.72,,,,,,390.0,210.0,320.0,260.0,170.0,140.0,260.0,320.0,260.0,170.0,320.0,210.0
top video production websites,CAD,20.0,100%,100%,Low,6.0,,,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,50.0,40.0,30.0,10.0,40.0,20.0
top visual effects companies,CAD,50.0,-29%,25%,Low,7.0,3.36,6.99,,,,,,70.0,50.0,70.0,30.0,40.0,70.0,70.0,50.0,50.0,70.0,70.0,50.0
trace vfx studio,CAD,10.0,-100%,0%,Unknown,,,,,,,,,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0
trace vfx technicolor,CAD,10.0,-100%,0%,Unknown,,,,,,,,,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0
traditional animation studio,CAD,10.0,-50%,0%,Low,0.0,,,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,20.0,20.0,20.0,10.0
training on video production,CAD,880.0,-32%,233%,Low,5.0,4.75,27.91,,,,,,390.0,390.0,390.0,480.0,390.0,390.0,480.0,590.0,880.0,1900.0,1600.0,1300.0
training video production services,CAD,50.0,125%,350%,Low,0.0,,,,,,,,40.0,20.0,20.0,20.0,30.0,10.0,110.0,110.0,90.0,40.0,110.0,90.0
trixter visual effects,CAD,110.0,-18%,-18%,Low,3.0,2.21,8.33,,,,,,90.0,110.0,110.0,70.0,90.0,110.0,110.0,90.0,110.0,110.0,110.0,90.0
tubi tv bleach,CAD,10.0,0%,0%,Low,0.0,,,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
