keyword,avg_monthly_searches,cpc_low,cpc_high,competition_score,competition_text,currency,cpc,search_intent
list of video production services,10.0,,,24.0,Low,CAD,,transactional
live action videos company,10.0,,,0.0,Low,CAD,,transactional
live event video production companies,50.0,,,3.0,Low,CAD,,commercial
local brand video,10.0,,,,Unknown,CAD,,informational
local video company,590.0,4.53,17.33,10.0,Low,CAD,10.93,transactional
local video marketing agency,20.0,,,0.0,Low,CAD,,transactional
lord of the rings vfx company,10.0,,,0.0,Low,CAD,,transactional
lorven vfx,10.0,,,,Unknown,CAD,,commercial
lorven vfx studios,10.0,,,,Unknown,CAD,,transactional
lux video production company,10.0,,,,Unknown,CAD,,transactional
magic productions video,10.0,,,0.0,Low,CAD,,informational
magnifi videoverse,10.0,,,7.0,Low,CAD,,informational
majestic video productions,10.0,,,57.0,Medium,CAD,,commercial
makuta studios,10.0,,,,Unknown,CAD,,transactional
makuta vfx company,70.0,,,0.0,Low,CAD,,transactional
makuta vfx studio,10.0,,,,Unknown,CAD,,transactional
marketing video production team,50.0,,,0.0,Low,CAD,,commercial
marketing your video production company,10.0,,,0.0,Low,CAD,,transactional
marvel special effects,10.0,,,0.0,Low,CAD,,informational
marvel studios vfx,10.0,,,0.0,Low,CAD,,transactional
marvel vfx,70.0,,,0.0,Low,CAD,,commercial
marvel vfx companies,10.0,,,0.0,Low,CAD,,commercial
marvel vfx studio,10.0,,,2.0,Low,CAD,,transactional
marvel vfx studios,10.0,,,,Unknown,CAD,,transactional
marz vfx studio,10.0,,,,Unknown,CAD,,transactional
media content production company,10.0,,,,Unknown,CAD,,transactional
media production company services,10.0,,,0.0,Low,CAD,,transactional
medical 3d animation company,40.0,6.44,20.96,6.0,Low,CAD,13.7,transactional
medical video production services,30.0,,,0.0,Low,CAD,,transactional
meta vfx,10.0,,,20.0,Low,CAD,,commercial
method studios vfx,210.0,,,1.0,Low,CAD,,transactional
miami production studios,110.0,3.77,13.12,30.0,Low,CAD,8.445,transactional
mid roll video ads,10.0,,,14.0,Low,CAD,,informational
midlands video production company,10.0,,,,Unknown,CAD,,transactional
mikros vfx,10.0,,,0.0,Low,CAD,,commercial
mixamo founded,10.0,,,,Unknown,CAD,,informational
moon knight vfx studio,0.0,,,,Unknown,CAD,,transactional
motion graphics 2d and 3d animation,10.0,,,0.0,Low,CAD,,commercial
motion graphics production agency,90.0,,,1.0,Low,CAD,,transactional
motion graphics video agency,50.0,,,1.0,Low,CAD,,transactional
motion source video production,10.0,,,14.0,Low,CAD,,commercial
movie special effects companies,20.0,,,6.0,Low,CAD,,informational
moving picture company mpc,210.0,2.28,13.25,9.0,Low,CAD,7.765,transactional
mpc animation company,10.0,,,48.0,Medium,CAD,,transactional
mpc animation studio,10.0,,,2.0,Low,CAD,,transactional
mpc film and episodic,10.0,,,0.0,Low,CAD,,informational
mpc films,320.0,,,0.0,Low,CAD,,informational
mpc lion king,10.0,,,0.0,Low,CAD,,informational
mpc moving picture company,210.0,2.28,13.25,9.0,Low,CAD,7.765,transactional
mpc showreel,10.0,,,0.0,Low,CAD,,informational
mpc special effects,10.0,,,2.0,Low,CAD,,informational
mpc studio vfx,10.0,,,0.0,Low,CAD,,transactional
mpc vfx company,10.0,,,0.0,Low,CAD,,transactional
mpc vfx studio,20.0,,,2.0,Low,CAD,,transactional
mpc visual effects,880.0,2.17,7.75,1.0,Low,CAD,4.96,commercial
mpc visual effects company,10.0,,,0.0,Low,CAD,,transactional
mr x mpc,10.0,,,,Unknown,CAD,,informational
mr x vfx company,10.0,,,5.0,Low,CAD,,transactional
mr x vfx studio,10.0,,,5.0,Low,CAD,,transactional
multimedia production house,40.0,3.68,14.88,14.0,Low,CAD,9.28,informational
multivision digital productions,20.0,6.17,16.97,29.0,Low,CAD,11.57,informational
music video production agency,10.0,,,19.0,Low,CAD,,transactional
my neighbor totoro amazon prime,140.0,,,3.0,Low,CAD,,informational
myriad video production,10.0,,,0.0,Low,CAD,,commercial
namaha vfx studios,10.0,,,,Unknown,CAD,,transactional
netflix vfx studio,10.0,,,0.0,Low,CAD,,transactional
new video company,10.0,,,12.0,Low,CAD,,transactional
new video production company,40.0,,,0.0,Low,CAD,,transactional
newcastle video company,10.0,1.73,4.43,16.0,Low,CAD,3.08,transactional
no 1 vfx company in world,10.0,,,0.0,Low,CAD,,transactional
nomad vfx,20.0,,,0.0,Low,CAD,,commercial
non profit film companies,20.0,2.1,13.67,16.0,Low,CAD,7.885,informational
ntc video production,10.0,,,4.0,Low,CAD,,commercial
ny vfx studio,10.0,,,,Unknown,CAD,,transactional
occult vfx studio,10.0,,,,Unknown,CAD,,transactional
oklahoma production company,10.0,,,0.0,Low,CAD,,transactional
omega vfx studios,10.0,,,,Unknown,CAD,,transactional
one of us vfx studio,10.0,,,7.0,Low,CAD,,transactional
one of us visual effects,480.0,1.49,5.49,1.0,Low,CAD,3.49,commercial
online video marketing agency,50.0,,,0.0,Low,CAD,,transactional
online video production studio,20.0,,,0.0,Low,CAD,,transactional
openslate vfx,10.0,,,0.0,Low,CAD,,commercial
opsis vfx,50.0,,,0.0,Low,CAD,,commercial
orange video production,10.0,,,0.0,Low,CAD,,commercial
orlando film production companies,70.0,3.74,18.41,20.0,Low,CAD,11.075,informational
outdoor film production companies,10.0,,,0.0,Low,CAD,,informational
outdoor video production companies,20.0,,,5.0,Low,CAD,,commercial
outsourcing cartoon,50.0,8.19,25.97,4.0,Low,CAD,17.08,informational
own brand video,10.0,,,,Unknown,CAD,,informational
pakistani video brand,10.0,,,0.0,Low,CAD,,informational
paramount vfx,10.0,,,0.0,Low,CAD,,commercial
peter jackson vfx company,10.0,,,0.0,Low,CAD,,transactional
philmcgi vfx,10.0,,,,Unknown,CAD,,commercial
phoenix corporate videographer,10.0,,,21.0,Low,CAD,,informational
phoenix video production services,70.0,,,17.0,Low,CAD,,transactional
photography and video production company,40.0,3.2,17.68,7.0,Low,CAD,10.44,transactional
photography production agency,10.0,,,15.0,Low,CAD,,transactional
photorealistic 3d animation,20.0,,,0.0,Low,CAD,,commercial
pinaka studios vfx,10.0,,,0.0,Low,CAD,,transactional
pixar animation studios 3d,10.0,5.26,13.56,9.0,Low,CAD,9.41,transactional
pixel magic vfx,20.0,,,0.0,Low,CAD,,commercial
pixel vfx studio,10.0,,,11.0,Low,CAD,,transactional
pixelframes vfx,10.0,,,,Unknown,CAD,,commercial
pixelframes vfx studios,10.0,,,,Unknown,CAD,,transactional
pixomondo vfx,30.0,,,1.0,Low,CAD,,commercial
pixstone vfx,10.0,,,0.0,Low,CAD,,commercial
pixstone vfx studio,10.0,,,,Unknown,CAD,,transactional
plastic wax vfx,10.0,,,0.0,Low,CAD,,commercial
post production editing services,20.0,,,0.0,Low,CAD,,transactional
post production video editing services,50.0,,,1.0,Low,CAD,,transactional
prana studios vfx,10.0,,,0.0,Low,CAD,,transactional
prana vfx,10.0,,,0.0,Low,CAD,,commercial
prana vfx studio,10.0,,,,Unknown,CAD,,transactional
prasad vfx studio,10.0,,,,Unknown,CAD,,transactional
pre production production post production,260.0,,,0.0,Low,CAD,,informational
pre roll digital advertising,10.0,,,0.0,Low,CAD,,informational
premier production videos,20.0,,,0.0,Low,CAD,,informational
prime focus animation studio,10.0,,,,Unknown,CAD,,transactional
prime focus post production,10.0,,,7.0,Low,CAD,,informational
prime focus vfx company,10.0,,,,Unknown,CAD,,transactional
prime focus vfx studio,10.0,,,,Unknown,CAD,,transactional
prime vfx,10.0,,,,Unknown,CAD,,commercial
prime video marketing,20.0,14.27,46.66,12.0,Low,CAD,30.465,informational
prism & pixels vfx studio,10.0,,,0.0,Low,CAD,,transactional
prism and pixels vfx studio,10.0,,,0.0,Low,CAD,,transactional
produce a corporate video,2900.0,6.51,32.18,5.0,Low,CAD,19.345,informational
production commercials,210.0,5.96,44.3,8.0,Low,CAD,25.13,informational
production company rate card,10.0,,,20.0,Low,CAD,,transactional
production company reels,40.0,2.7,11.38,26.0,Low,CAD,7.040000000000001,transactional
production youtube,320.0,2.16,9.63,5.0,Low,CAD,5.8950000000000005,informational
professional corporate video production,50.0,,,0.0,Low,CAD,,commercial
professional production company,10.0,,,2.0,Low,CAD,,transactional
professional training video production,30.0,,,1.0,Low,CAD,,commercial
professional video producer,480.0,6.62,55.9,2.0,Low,CAD,31.26,informational
professional video production services,480.0,13.69,50.63,1.0,Low,CAD,32.160000000000004,transactional
promotional video maker company,30.0,,,0.0,Low,CAD,,transactional
promotional video production services,110.0,,,0.0,Low,CAD,,transactional
r&h vfx,10.0,,,15.0,Low,CAD,,commercial
rai video production,10.0,,,0.0,Low,CAD,,commercial
raj vfx studio,10.0,,,,Unknown,CAD,,transactional
real estate video marketing agency,10.0,,,0.0,Low,CAD,,transactional
real estate video production services,90.0,1.87,6.33,1.0,Low,CAD,4.1,transactional
real estate videography business,10.0,1.69,4.43,22.0,Low,CAD,3.06,informational
reliance 3d animation,,,,,Unknown,CAD,,commercial
reliance mediaworks vfx,10.0,,,,Unknown,CAD,,commercial
resonance vfx studio,10.0,,,,Unknown,CAD,,transactional
rings of power vfx studio,10.0,,,,Unknown,CAD,,transactional
rising sun pictures vfx,30.0,,,0.0,Low,CAD,,commercial
rocket launch 3d animation,10.0,,,0.0,Low,CAD,,commercial
rodeo visual effects company,10.0,,,0.0,Low,CAD,,transactional
roll on advertisement,10.0,,,25.0,Low,CAD,,informational
roush video production,10.0,,,29.0,Low,CAD,,commercial
rrr vfx studio,10.0,,,0.0,Low,CAD,,transactional
rrr visual effects company,10.0,,,0.0,Low,CAD,,transactional
sancio vfx,10.0,,,0.0,Low,CAD,,commercial
sancio vfx studios,10.0,,,0.0,Low,CAD,,transactional
satya sai vfx studio,10.0,,,,Unknown,CAD,,transactional
scanline vfx netflix,20.0,,,0.0,Low,CAD,,commercial
scanline vfx reel,10.0,,,0.0,Low,CAD,,commercial
screen scene post production,20.0,,,12.0,Low,CAD,,informational
screen scene vfx,20.0,,,1.0,Low,CAD,,commercial
sd character design,10.0,,,,Unknown,CAD,,informational
select vfx studio,10.0,,,0.0,Low,CAD,,transactional
semenax video,30.0,,,1.0,Low,CAD,,informational
semenex commercial,10.0,,,0.0,Low,CAD,,informational
service video production,8100.0,5.36,20.96,3.0,Low,CAD,13.16,transactional
sf production companies,210.0,3.86,14.91,27.0,Low,CAD,9.385,informational
sf video production,1300.0,3.93,20.26,8.0,Low,CAD,12.095,commercial
shilpa shetty vfx studio,10.0,,,,Unknown,CAD,,transactional
shirt video,30.0,,,0.0,Low,CAD,,informational
shoot you video production,10.0,,,5.0,Low,CAD,,commercial
shootsta hub,10.0,,,0.0,Low,CAD,,informational
shootsta video,10.0,,,0.0,Low,CAD,,informational
silvercloud studios vfx,10.0,,,,Unknown,CAD,,transactional
singarajan vfx studio,0.0,,,,Unknown,CAD,,transactional
sketchup walkthrough animation,10.0,,,0.0,Low,CAD,,commercial
sky vfx studios,10.0,,,,Unknown,CAD,,transactional
sme video production,10.0,,,29.0,Low,CAD,,commercial
snack video advertisement,10.0,,,1.0,Low,CAD,,informational
social media lead machine blake nubar,10.0,,,,Unknown,CAD,,informational
social media video production services,70.0,,,2.0,Low,CAD,,transactional
social video company,20.0,,,0.0,Low,CAD,,transactional
soft video,390.0,4.63,22.09,3.0,Low,CAD,13.36,informational
somesuch vimeo,10.0,,,7.0,Low,CAD,,informational
sonic the hedgehog vfx studio,10.0,,,0.0,Low,CAD,,transactional
spectrecom films,30.0,,,2.0,Low,CAD,,informational
spot on video productions,10.0,,,7.0,Low,CAD,,commercial
squatty potty unicorn video,50.0,,,0.0,Low,CAD,,informational
ssvfx studio,10.0,,,0.0,Low,CAD,,transactional
stargate vfx,20.0,,,0.0,Low,CAD,,commercial
starting your own video production company,10.0,,,36.0,Medium,CAD,,transactional
startup explainer video maker,10.0,,,0.0,Low,CAD,,informational
startup video company,10.0,,,0.0,Low,CAD,,transactional
startup video production company,90.0,,,1.0,Low,CAD,,transactional
static vfx studio,10.0,,,0.0,Low,CAD,,transactional
staticvfx,10.0,,,0.0,Low,CAD,,commercial
staticvfx studio,10.0,,,0.0,Low,CAD,,transactional
storm studios vfx,20.0,2.69,4.89,7.0,Low,CAD,3.79,transactional
stormborn vfx,10.0,,,9.0,Low,CAD,,commercial
stream princess mononoke hulu,50.0,,,0.0,Low,CAD,,informational
studio 51 vfx,20.0,,,0.0,Low,CAD,,transactional
suhana masala advertisement video,0.0,,,,Unknown,CAD,,informational
surpreeze vfx studio,10.0,,,,Unknown,CAD,,transactional
svs studio vfx,0.0,,,,Unknown,CAD,,transactional
svs vfx studio,0.0,,,,Unknown,CAD,,transactional
technicolor creative studios mpc,10.0,,,,Unknown,CAD,,transactional
technicolor vfx,590.0,,,2.0,Low,CAD,,commercial
technicolour vfx,10.0,,,4.0,Low,CAD,,commercial
television video content brands,10.0,,,5.0,Low,CAD,,informational
telideo productions,10.0,,,1.0,Low,CAD,,informational
territory vfx,40.0,,,3.0,Low,CAD,,commercial
the aerial filming company,20.0,1.41,8.26,9.0,Low,CAD,4.835,transactional
the best corporate videos,10.0,,,11.0,Low,CAD,,commercial
the foundry nuke studio,30.0,,,3.0,Low,CAD,,transactional
the mill vfx,720.0,2.25,4.89,1.0,Low,CAD,3.57,commercial
the mill video production,10.0,,,0.0,Low,CAD,,commercial
the mill visual effects,720.0,2.25,4.89,1.0,Low,CAD,3.57,commercial
the molecule vfx,20.0,,,1.0,Low,CAD,,commercial
the room studio vfx,0.0,,,,Unknown,CAD,,transactional
the vfx company,10.0,,,0.0,Low,CAD,,transactional
the video content agency,10.0,,,0.0,Low,CAD,,transactional
the video marketing company,20.0,,,5.0,Low,CAD,,transactional
the video production company,10.0,5.07,15.37,30.0,Low,CAD,10.22,transactional
the wedding video company,10.0,,,0.0,Low,CAD,,transactional
third floor vfx,30.0,,,9.0,Low,CAD,,commercial
thor love and thunder vfx studio,10.0,,,,Unknown,CAD,,transactional
thunder vfx studio,10.0,,,,Unknown,CAD,,transactional
tippett vfx,10.0,,,13.0,Low,CAD,,commercial
top 10 vfx companies,10.0,,,14.0,Low,CAD,,commercial
top 10 vfx companies in the world,10.0,,,0.0,Low,CAD,,commercial
top 10 vfx companies in world,10.0,,,0.0,Low,CAD,,commercial
top 10 vfx studios,10.0,,,0.0,Low,CAD,,transactional
top 10 vfx studios in world,10.0,,,,Unknown,CAD,,transactional
top 100 video production companies,10.0,,,57.0,Medium,CAD,,commercial
top 5 vfx companies in the world,10.0,,,0.0,Low,CAD,,commercial
top brand videos,10.0,,,0.0,Low,CAD,,commercial
top corporate video companies,30.0,,,0.0,Low,CAD,,commercial
top corporate video production companies,40.0,,,0.0,Low,CAD,,commercial
top film production,10.0,,,0.0,Low,CAD,,commercial
top special effects companies,10.0,,,4.0,Low,CAD,,commercial
top ten visual effects companies,10.0,,,,Unknown,CAD,,commercial
top vfx companies,50.0,3.36,6.99,7.0,Low,CAD,5.175,commercial
top vfx companies in the world,10.0,,,1.0,Low,CAD,,commercial
top vfx studio,20.0,,,0.0,Low,CAD,,transactional
top vfx studios in the world,10.0,,,14.0,Low,CAD,,transactional
top vfx studios in world,10.0,,,,Unknown,CAD,,transactional
top video production,260.0,4.25,23.72,9.0,Low,CAD,13.985,commercial
top video production websites,20.0,,,6.0,Low,CAD,,commercial
top visual effects companies,50.0,3.36,6.99,7.0,Low,CAD,5.175,commercial
trace vfx studio,10.0,,,,Unknown,CAD,,transactional
trace vfx technicolor,10.0,,,,Unknown,CAD,,commercial
traditional animation studio,10.0,,,0.0,Low,CAD,,transactional
training on video production,880.0,4.75,27.91,5.0,Low,CAD,16.33,commercial
training video production services,50.0,,,0.0,Low,CAD,,transactional
trixter visual effects,110.0,2.21,8.33,3.0,Low,CAD,5.27,commercial
tubi tv bleach,10.0,,,0.0,Low,CAD,,informational
tv ads production,880.0,6.63,36.04,1.0,Low,CAD,21.335,informational
tv commercial film production company,10.0,,,,Unknown,CAD,,transactional
tv commercial production services,30.0,,,0.0,Low,CAD,,transactional
tv commercial production studio,30.0,,,1.0,Low,CAD,,transactional
tv commercial video,20.0,7.42,26.8,13.0,Low,CAD,17.11,informational
tv film & video production services,50.0,,,0.0,Low,CAD,,transactional
tv film and video production company,10.0,,,0.0,Low,CAD,,transactional
tv video production companies,20.0,,,0.0,Low,CAD,,commercial
ultra video company,10.0,,,0.0,Low,CAD,,transactional
unique brand video,10.0,,,,Unknown,CAD,,informational
untold studios vfx,30.0,2.08,5.04,10.0,Low,CAD,3.56,transactional
untold vfx,140.0,2.3,9.34,2.0,Low,CAD,5.82,commercial
v21 video production,10.0,,,0.0,Low,CAD,,commercial
vfx and animation studio,20.0,4.89,13.53,22.0,Low,CAD,9.21,transactional
vfx animation company,10.0,,,0.0,Low,CAD,,transactional
vfx companies in world,10.0,,,0.0,Low,CAD,,commercial
vfx company for marvel,10.0,,,,Unknown,CAD,,transactional
vfx company logo,10.0,,,0.0,Low,CAD,,transactional
vfx company website,10.0,,,3.0,Low,CAD,,transactional
vfx creative studios,10.0,,,7.0,Low,CAD,,transactional
vfx ilm,480.0,,,0.0,Low,CAD,,commercial
vfx lens studio,10.0,,,,Unknown,CAD,,transactional
vfx marvel,20.0,,,0.0,Low,CAD,,commercial
vfx marvel studio,10.0,,,0.0,Low,CAD,,transactional
vfx outsourcing companies,30.0,,,5.0,Low,CAD,,commercial
vfx paint studio,10.0,,,,Unknown,CAD,,transactional
vfx production house,20.0,3.13,7.32,15.0,Low,CAD,5.225,commercial
vfx rig removal services,10.0,,,,Unknown,CAD,,transactional
vfx studio dneg,10.0,,,0.0,Low,CAD,,transactional
vfx studio europe,10.0,,,1.0,Low,CAD,,transactional
vfx studio mpc,10.0,,,0.0,Low,CAD,,transactional
vfx studios worldwide,10.0,,,21.0,Low,CAD,,transactional
vfx the mill,10.0,,,0.0,Low,CAD,,commercial
vfx top companies,10.0,,,0.0,Low,CAD,,commercial
vfxstudio,1600.0,1.91,5.59,5.0,Low,CAD,3.75,transactional
video agency studio,20.0,,,0.0,Low,CAD,,transactional
video amp,3600.0,0.66,27.95,11.0,Low,CAD,14.305,informational
video and production,30.0,6.44,23.2,10.0,Low,CAD,14.82,informational
video commercial company,90.0,12.74,39.1,11.0,Low,CAD,25.92,transactional
video commercial production companies,90.0,,,0.0,Low,CAD,,informational
video company video,10.0,,,0.0,Low,CAD,,transactional
video content for brands,20.0,,,3.0,Low,CAD,,informational
video content marketing companies,170.0,11.57,26.78,3.0,Low,CAD,19.175,informational
video editing production companies,20.0,,,9.0,Low,CAD,,informational
video explainers agency,10.0,,,0.0,Low,CAD,,transactional
video firms,10.0,,,7.0,Low,CAD,,informational
video magic productions,20.0,1.57,7.03,15.0,Low,CAD,4.3,informational
video marketing brand awareness,10.0,,,7.0,Low,CAD,,informational
video marketing for your business,10.0,,,0.0,Low,CAD,,informational
video marketing producer,20.0,,,8.0,Low,CAD,,informational
video marketing production services,210.0,6.29,31.95,1.0,Low,CAD,19.12,transactional
video new brand,10.0,,,,Unknown,CAD,,informational
video pal,90.0,3.42,5.45,3.0,Low,CAD,4.4350000000000005,informational
video post production studio,10.0,,,0.0,Low,CAD,,transactional
video pre roll advertising,110.0,5.95,55.9,3.0,Low,CAD,30.925,informational
video production advertising agency,170.0,,,0.0,Low,CAD,,transactional
video production agency for healthcare,30.0,,,0.0,Low,CAD,,transactional
video production and photography services,10.0,,,,Unknown,CAD,,transactional
video production by,10.0,,,16.0,Low,CAD,,commercial
video production clients,10.0,,,40.0,Medium,CAD,,commercial
video production co,10.0,,,5.0,Low,CAD,,commercial
video production company devon,10.0,2.02,9.2,33.0,Medium,CAD,5.609999999999999,transactional
video production company sussex,110.0,2.51,33.87,4.0,Low,CAD,18.19,transactional
video production digital marketing,50.0,,,0.0,Low,CAD,,commercial
video production full service,40.0,,,0.0,Low,CAD,,transactional
video production lancaster,50.0,2.85,7.94,10.0,Low,CAD,5.3950000000000005,commercial
video production nc,50.0,4.21,17.32,12.0,Low,CAD,10.765,commercial
video production office,20.0,,,1.0,Low,CAD,,commercial
video production producer,2900.0,3.28,15.11,5.0,Low,CAD,9.195,commercial
video production service company,70.0,4.57,7.71,3.0,Low,CAD,6.140000000000001,transactional
video production services pricing,20.0,,,0.0,Low,CAD,,transactional
video services company,30.0,,,6.0,Low,CAD,,transactional
video studio company,10.0,,,0.0,Low,CAD,,transactional
video video company,10.0,,,0.0,Low,CAD,,transactional
videoz agency,10.0,,,,Unknown,CAD,,transactional
viral brand videos,10.0,,,2.0,Low,CAD,,informational
viral video marketing agency,210.0,6.13,19.19,10.0,Low,CAD,12.66,transactional
visual effects houses,10.0,,,5.0,Low,CAD,,commercial
visual production service,10.0,,,25.0,Low,CAD,,transactional
visual studio effects,10.0,,,,Unknown,CAD,,transactional
vivid video production,10.0,,,0.0,Low,CAD,,commercial
vmix social facebook,10.0,,,,Unknown,CAD,,informational
vox video productions,10.0,,,0.0,Low,CAD,,commercial
walk animation,3600.0,,,0.0,Low,CAD,,commercial
walkthrough animation,30.0,,,4.0,Low,CAD,,commercial
warner bros vfx,10.0,,,0.0,Low,CAD,,commercial
web video companies,70.0,,,3.0,Low,CAD,,informational
web video production,320.0,3.13,17.3,0.0,Low,CAD,10.215,commercial
web video production agency,50.0,6.5,13.11,8.0,Low,CAD,9.805,transactional
web video production companies,50.0,,,2.0,Low,CAD,,commercial
web video production service,140.0,,,0.0,Low,CAD,,transactional
wedding video production services,20.0,,,0.0,Low,CAD,,transactional
west coast video production,40.0,,,6.0,Low,CAD,,commercial
west video productions,10.0,,,3.0,Low,CAD,,commercial
weta digital vfx,260.0,,,0.0,Low,CAD,,commercial
white label programmatic video advertising,10.0,,,0.0,Low,CAD,,informational
white label video advertising,10.0,,,0.0,Low,CAD,,informational
whiteboard video animation services,70.0,,,3.0,Low,CAD,,transactional
wildlife logo design,20.0,,,13.0,Low,CAD,,informational
windmill lane creative content vfx audio & post production studio,10.0,,,,Unknown,CAD,,transactional
windmill lane vfx,40.0,,,0.0,Low,CAD,,commercial
world best vfx studio,10.0,,,0.0,Low,CAD,,transactional
world biggest vfx company,10.0,,,0.0,Low,CAD,,transactional
world no 1 vfx company,10.0,,,,Unknown,CAD,,transactional
world top 10 vfx studios,10.0,,,,Unknown,CAD,,transactional
world top vfx company,10.0,,,14.0,Low,CAD,,transactional
xstudio dneg,10.0,,,0.0,Low,CAD,,transactional
yashraj vfx studio,10.0,,,0.0,Low,CAD,,transactional
youtube brand advertising,10.0,6.28,45.33,40.0,Medium,CAD,25.805,informational
youtube brand positioning,10.0,,,0.0,Low,CAD,,informational
youtube creator playbook for brands,10.0,,,0.0,Low,CAD,,informational
youtube production house,10.0,,,0.0,Low,CAD,,informational
youtube products,1900.0,,,0.0,Low,CAD,,informational
youtube video tags finder,50.0,,,1.0,Low,CAD,,informational
yugioh pluto tv,40.0,,,0.0,Low,CAD,,informational
yum yum explainer video,10.0,,,86.0,High,CAD,,informational
ziva vfx blender,10.0,,,0.0,Low,CAD,,commercial
zoic vfx,70.0,3.06,9.44,3.0,Low,CAD,6.25,commercial
zoic visual effects,70.0,3.06,9.44,3.0,Low,CAD,6.25,commercial
short video production,90.0,3.28,11.46,19.0,Low,CAD,7.37,commercial
vertical video ads,140.0,7.7,39.16,20.0,Low,CAD,23.43,informational
tiktok video agency,40.0,11.27,63.49,13.0,Low,CAD,37.38,transactional
mobile video advertising,170.0,7.11,23.94,6.0,Low,CAD,15.525,informational
digital content production,110.0,3.61,12.16,5.0,Low,CAD,7.885,informational
videography services,2400.0,4.19,21.7,10.0,Low,CAD,12.945,transactional
content production agency,320.0,3.76,15.8,5.0,Low,CAD,9.78,transactional
explainer video production company,390.0,12.78,47.5,3.0,Low,CAD,30.14,transactional
tiktok video editing agency,10.0,,,86.0,High,CAD,,transactional
ross ultrix,390.0,2.34,4.13,16.0,Low,CAD,3.235,informational
ross switcher,880.0,0.96,2.41,44.0,Medium,CAD,1.685,informational
corporate video company,480.0,6.68,34.52,2.0,Low,CAD,20.6,transactional
tiktok editing agency,10.0,,,93.0,High,CAD,,transactional
business video production,880.0,4.17,37.59,3.0,Low,CAD,20.880000000000003,commercial
apps for creating reels,110.0,1.73,5.49,74.0,High,CAD,3.61,informational
vision mixer,720.0,0.82,3.03,88.0,High,CAD,1.925,informational
content automation platforms,110.0,13.01,27.81,4.0,Low,CAD,20.41,commercial
ross carbonite ultra,210.0,1.04,3.1,85.0,High,CAD,2.0700000000000003,informational
video filming,1900.0,2.19,4.19,3.0,Low,CAD,3.1900000000000004,informational
short video production cost,10.0,,,86.0,High,CAD,,commercial
viral marketing company,90.0,12.61,36.83,25.0,Low,CAD,24.72,transactional
mobile video ads,170.0,7.11,23.94,6.0,Low,CAD,15.525,informational
bynder video brand studio,10.0,,,,Unknown,CAD,,transactional
corporate video production company,590.0,6.26,33.27,3.0,Low,CAD,19.765,transactional
tiktok clip agency,10.0,,,86.0,High,CAD,,transactional
brightsign video wall,50.0,0.81,9.2,24.0,Low,CAD,5.005,informational
mobile app promotion video,20.0,2.43,11.46,16.0,Low,CAD,6.945,informational
digital content production company,90.0,,,1.0,Low,CAD,,transactional
video billboard truck,20.0,3.97,11.21,38.0,Medium,CAD,7.590000000000001,informational
digital content delivery platform,40.0,8.55,30.3,3.0,Low,CAD,19.425,commercial
vertical videos on linkedin,90.0,,,4.0,Low,CAD,,informational
software for making reels,10.0,2.21,8.4,66.0,Medium,CAD,5.305,commercial
mobile app video ads,110.0,3.94,34.22,8.0,Low,CAD,19.08,informational
content production system,10.0,,,14.0,Low,CAD,,informational
video advertising truck,20.0,4.04,8.94,62.0,Medium,CAD,6.49,informational
facebook vertical ads,10.0,,,16.0,Low,CAD,,informational
mobile app advertising video,10.0,,,86.0,High,CAD,,informational
facebook vertical video ad specs,10.0,,,0.0,Low,CAD,,informational
vertical video advertising,140.0,7.7,39.16,20.0,Low,CAD,23.43,informational
mobile video advertising companies,10.0,,,0.0,Low,CAD,,informational
best rewarded video ad network,10.0,,,4.0,Low,CAD,,commercial
admob invalid traffic appeal,10.0,,,,Unknown,CAD,,informational
creative vertical video,10.0,,,0.0,Low,CAD,,informational
digital content etsy,10.0,,,100.0,High,CAD,,informational
digital content management associate,10.0,,,0.0,Low,CAD,,informational
digital content on etsy,10.0,,,45.0,Medium,CAD,,informational
digital content production agency,90.0,,,1.0,Low,CAD,,transactional
digital content production studio,10.0,,,0.0,Low,CAD,,transactional
digital content studio,210.0,,,9.0,Low,CAD,,transactional
digital video content,30.0,3.52,13.21,5.0,Low,CAD,8.365,informational
facebook vertical video,50.0,,,5.0,Low,CAD,,informational
facebook vertical video ads,10.0,,,8.0,Low,CAD,,informational
facebook vertical video specs,10.0,,,10.0,Low,CAD,,informational
facebook video vertical,10.0,,,0.0,Low,CAD,,informational
instagram reels canva,50.0,,,5.0,Low,CAD,,informational
interactive mobile video advertising,10.0,,,,Unknown,CAD,,informational
mobile app video advertising,110.0,3.94,34.22,8.0,Low,CAD,19.08,informational
mobile game ads on youtube,30.0,,,4.0,Low,CAD,,informational
mobile game video ads,10.0,,,10.0,Low,CAD,,informational
mobile game youtube ads,10.0,,,0.0,Low,CAD,,informational
mobile marketing video,20.0,,,0.0,Low,CAD,,informational
mobile phone advertisement video,10.0,,,0.0,Low,CAD,,informational
mobile shop advertisement video,10.0,,,,Unknown,CAD,,informational
mobile video ad cpm,20.0,,,0.0,Low,CAD,,informational
mobile video ad formats,10.0,,,0.0,Low,CAD,,informational
mobile video ad networks,10.0,,,0.0,Low,CAD,,informational
mobile video ad platform,20.0,,,2.0,Low,CAD,,commercial
mobile video advertising 2017,10.0,,,0.0,Low,CAD,,informational
mobile video advertising growth,10.0,,,,Unknown,CAD,,informational
mobile video advertising platform,20.0,,,2.0,Low,CAD,,commercial
